,Country Name,FB_ATM_TOTL_P5,IC_TAX_TOTL_CP_ZS,cos_dist,my_cos_dist,euc_dist
2,United Arab Emirates,60.89727684,15.9,2.44796107676e-05,2.44796107676e-05,115.627615078
5,Australia,160.7520453,47.6,0.000779462464081,0.000779462464081,12.8745645547
6,Austria,119.4389744,51.7,0.012790250236,0.012790250236,54.208611398
8,Belgium,93.90762454,58.4,0.0470465201171,0.0470465201171,80.4926513856
17,Brunei Darussalam,79.62710595,8.7,0.00972397224983,0.00972397224983,99.8655838676
20,Canada,222.2742686,21.1,0.0117966615017,0.0117966615017,54.2178306618
21,Switzerland,97.52859429,28.8,0.000750328621097,0.000750328621097,77.049020471
30,Cyprus,53.12688158,24.4,0.0165427349005,0.0165427349005,121.53121729
32,Germany,118.1869095,48.8,0.0102334907628,0.0102334907628,55.1148259052
33,Denmark,54.28569379,24.5,0.0153695440546,0.0153695440546,120.371405523
38,Spain,119.6278735,50.0,0.0108581614724,0.0108581614724,53.8025318448
39,Estonia,76.81975404,49.4,0.0517401463436,0.0517401463436,96.4207236858
40,Finland,35.86609314,37.9,0.155179547372,0.155179547372,137.348508223
42,France,108.048267,62.7,0.0382316613548,0.0382316613548,67.6980030675
44,United Kingdom,129.7634366,32.0,2.19001007201e-05,2.19001007201e-05,44.9247884733
47,Greece,59.08688711,49.6,0.0995249270602,0.0995249270602,114.139013483
50,"Hong Kong SAR, China",49.77183612,22.8,0.0163655000501,0.0163655000501,125.103848156
57,Ireland,84.76546607,25.9,0.00115865213073,0.00115865213073,90.1336370103
60,Iceland,71.52865079,29.6,0.0103452941913,0.0103452941913,102.556688774
61,Israel,126.1091054,30.6,5.3564933679e-05,5.3564933679e-05,48.8209214066
62,Italy,91.85098876,64.8,0.0662353106555,0.0662353106555,83.8780572863
65,Japan,127.4960674,51.3,0.00898423284141,0.00898423284141,46.1841170836
70,"Korea, Rep.",290.6606232,33.2,0.00905391535248,0.00905391535248,118.063005877
71,Kuwait,58.50080618,13.0,0.000441925103976,0.000441925103976,118.676031086
77,Lithuania,51.69088142,42.6,0.0956257958787,0.0956257958787,121.399564566
78,Luxembourg,106.2910879,20.1,0.00189055068224,0.00189055068224,70.9060247824
86,Malta,56.28187087,41.3,0.0730738140212,0.0730738140212,116.830548802
97,Netherlands,50.57684678,41.0,0.0922063125451,0.0922063125451,122.540958383
98,Norway,48.6231152,39.5,0.0926425715472,0.0926425715472,124.538121575
100,New Zealand,70.73822573,34.3,0.0205513846934,0.0205513846934,102.794514233
102,Panama,60.8394214,37.2,0.0447806723966,0.0447806723966,112.443852125
107,Portugal,177.6906379,41.0,0.000233864197513,0.000233864197513,5.44388235359
109,Qatar,61.37663399,11.3,0.00219879472151,0.00219879472151,116.366578662
111,Russian Federation,184.6976969,47.0,3.0765694603e-07,3.0765694603e-07,12.020811582
116,Singapore,59.32291633,18.4,0.00137052981403,0.00137052981403,116.583519643
122,Sweden,40.24318317,49.1,0.195409713444,0.195409713444,132.942039513
134,Ukraine,94.55598808,52.2,0.0325949985358,0.0325949985358,78.9649151183
136,United States,173.0834853,43.9,1.11022302463e-16,1.11022302463e-16,0.0
