,Country Name,FB_ATM_TOTL_P5_x,IC_TAX_TOTL_CP_ZS_x,cos_dist,my_cos_dist,euc_dist,Country Code,Long Name,Table Name,BAR_SCHL_1519,BAR_SCHL_1519_FE,BAR_SCHL_15UP,BAR_SCHL_15UP_FE,BAR_SCHL_2024,BAR_SCHL_2024_FE,BAR_SCHL_2529,BAR_SCHL_2529_FE,BAR_SCHL_25UP,BAR_SCHL_25UP_FE,BAR_SCHL_3034,BAR_SCHL_3034_FE,BAR_SCHL_3539,BAR_SCHL_3539_FE,BAR_SCHL_4044,BAR_SCHL_4044_FE,BAR_SCHL_4549,BAR_SCHL_4549_FE,BAR_SCHL_5054,BAR_SCHL_5054_FE,BAR_SCHL_5559,BAR_SCHL_5559_FE,BAR_SCHL_6064,BAR_SCHL_6064_FE,BAR_SCHL_6569,BAR_SCHL_6569_FE,BAR_SCHL_7074,BAR_SCHL_7074_FE,BAR_SCHL_75UP,BAR_SCHL_75UP_FE,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5_y,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS_y,IQ_WEF_PORT_XQ,SE_ADT_1524_LT_FE_ZS,SE_ADT_1524_LT_FM_ZS,SE_ADT_1524_LT_MA_ZS,SE_ADT_1524_LT_ZS,SE_ADT_LITR_FE_ZS,SE_ADT_LITR_MA_ZS,SE_ADT_LITR_ZS,SE_XPD_TOTL_GD_ZS,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,TM_TAX_MANF_SM_FN_ZS,UIS_EA_1_AG25T99,UIS_EA_1T6_AG25T99,UIS_EA_2_AG25T99,UIS_EA_2T6_AG25T99,UIS_EA_3_AG25T99,UIS_EA_3T6_AG25T99,UIS_EA_4_AG25T99,UIS_EA_4T6_AG25T99,UIS_EA_5_AG25T99,UIS_EA_5T8_AG25T99,UIS_EA_6_AG25T99,UIS_EA_6T8_AG25T99,UIS_EA_7_AG25T99,UIS_EA_7T8_AG25T99,UIS_EA_8_AG25T99,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56
0,United Arab Emirates,60.89727684,15.9,2.44796107676e-05,2.44796107676e-05,115.627615078,ARE,United Arab Emirates,United Arab Emirates,10.02,9.83,9.07,9.97,9.53,10.32,9.3,10.39,8.88,9.93,8.92,10.66,8.88,10.53,8.88,9.96,8.88,9.95,8.84,8.55,8.83,8.53,8.32,5.92,8.31,5.92,4.29,2.5,3.24,1.95,97.69783,,60.89727684,32.0,,15.9,6.472991241,99.10131,0.99492,99.60736,99.42795,95.75619,93.1306,93.83585,1.10944,77.59999847,28.79999924,6302492.0,4.63,11.75153,74.43691,15.59026,62.68538,24.51559,47.09512,4.62696,22.57954,,17.95257,17.95257,,,,,14.14972,9.67677,17.46125
1,Australia,160.7520453,47.6,0.000779462464081,0.000779462464081,12.8745645547,AUS,Commonwealth of Australia,Australia,10.81,10.95,11.54,11.6,11.19,11.26,12.04,12.39,11.77,11.81,12.0,12.22,11.74,11.91,12.68,12.85,12.11,12.13,12.08,12.09,11.38,11.12,10.53,10.3,10.48,10.21,10.39,10.1,10.32,10.03,100.0,,160.7520453,75.0,,47.6,4.986503444,,,,,,,,4.90641,61.20000076,38.90000153,12420090.0,3.29,8.91852,,19.04393,91.08077,30.39593,72.03684,4.43532,41.64091,10.46198,37.20559,20.98663,26.7436,4.77119,5.75698,0.98578,,,27.47249
2,Austria,119.4389744,51.7,0.012790250236,0.012790250236,54.208611398,AUT,Republic of Austria,Austria,5.93,5.99,9.6,8.87,10.71,10.77,11.59,11.58,9.89,9.0,11.63,11.62,11.17,11.01,10.37,9.92,10.18,9.49,10.33,9.54,9.5,8.42,9.31,8.21,8.85,7.6,8.15,6.71,7.57,6.22,100.0,,119.4389744,23.0,,51.7,4.017461786,,,,98.0055,,,,5.45065,57.90000153,53.79999924,4468626.0,4.05,,,22.69364,,49.4788,77.30636,9.22219,27.82756,18.60537,18.60537,,,,,,8.16027,11.63756,7.28747
3,Belgium,93.90762454,58.4,0.0470465201171,0.0470465201171,80.4926513856,BEL,Kingdom of Belgium,Belgium,8.45,8.59,10.69,10.52,11.74,11.95,12.32,12.5,10.78,10.54,12.58,12.74,12.19,12.33,12.19,12.33,11.23,11.18,11.26,11.2,10.31,10.02,10.36,10.08,8.92,8.55,8.92,8.56,7.74,7.22,100.0,,93.90762454,88.0,,58.4,6.308197974,,,,,,,,6.36516,48.79999924,39.0,4975258.0,4.05,11.44443,93.03236,17.30925,81.58793,31.29354,64.27868,2.46037,32.98514,0.27642,30.52476,17.86906,30.24835,11.8449,12.37929,0.53439,9.22585,9.57712,16.34012
4,Brunei Darussalam,79.62710595,8.7,0.00972397224983,0.00972397224983,99.8655838676,BRN,Brunei Darussalam,Brunei Darussalam,7.95,7.88,8.74,8.58,9.28,9.8,9.56,9.67,8.77,8.48,8.82,8.63,8.86,8.71,9.13,8.94,9.11,9.23,8.02,7.93,8.89,8.05,8.82,7.98,5.99,3.92,6.14,4.07,3.41,1.7,76.16138,,79.62710595,56.0,,8.7,4.7,99.71525,1.00216,99.50076,99.60434,95.11002,97.68482,96.4083,3.76595,61.29999924,,203304.0,1.49,,,,,,,,,,,,,,,,10.34535,8.70334,15.11647
5,Canada,222.2742686,21.1,0.0117966615017,0.0117966615017,54.2178306618,CAN,Canada,Canada,10.16,10.16,12.32,12.39,12.42,12.71,13.48,13.81,12.56,12.61,13.57,13.86,13.45,13.68,13.45,13.68,12.9,13.05,12.9,13.05,12.43,12.44,12.43,12.44,11.34,11.22,11.08,10.97,9.75,9.56,100.0,,222.2742686,137.0,,21.1,5.458973778,,,,,,,,5.27246,61.5,38.20000076,19726591.0,2.51,,,17.25101,,23.10867,82.74899,11.96574,59.64031,,47.67457,47.67457,,,,,19.02609,12.19469,9.08142
6,Switzerland,97.52859429,28.8,0.000750328621097,0.000750328621097,77.049020471,CHE,Switzerland,Switzerland,8.69,8.77,13.02,12.67,12.45,12.61,13.65,13.63,13.42,12.97,14.03,13.94,13.68,13.33,13.69,13.33,13.41,13.0,13.41,13.0,13.02,12.47,12.66,12.15,13.64,13.01,13.63,12.99,12.92,12.28,100.0,,97.52859429,39.0,,28.8,4.622662931,,,,,,,,5.04805,65.0,47.59999847,4752879.0,0.0,3.86842,,12.82603,95.74914,42.85273,82.92312,5.25208,40.07039,,34.8183,34.8183,,,,,8.17844,10.65232,5.8358
7,Cyprus,53.12688158,24.4,0.0165427349005,0.0165427349005,121.53121729,CYP,Republic of Cyprus,Cyprus,9.4,9.66,11.07,10.85,12.51,13.18,13.2,13.48,11.11,10.77,12.84,13.01,12.56,12.51,12.56,12.51,11.75,11.62,11.75,11.62,10.02,9.47,10.02,9.47,8.14,7.17,8.14,7.17,5.9,4.77,100.0,,53.12688158,137.0,,24.4,4.420815453,99.87934,1.00039,99.83996,99.85889,98.65401,99.46252,99.06569,6.64467,53.90000153,38.40000153,613733.0,4.05,14.66489,94.36194,9.80451,79.69705,34.1378,69.89255,1.52162,35.75474,9.34535,34.23312,24.3526,24.88777,,,0.53518,9.66562,9.77062,12.68324
8,Germany,118.1869095,48.8,0.0102334907628,0.0102334907628,55.1148259052,DEU,Federal Republic of Germany,Germany,7.75,7.89,12.37,12.06,12.17,12.3,13.09,13.2,12.69,12.3,13.3,13.27,13.25,13.06,13.25,13.06,13.21,12.97,13.2,12.97,13.04,12.58,12.2,11.79,11.93,11.4,11.92,11.39,11.4,10.79,100.0,,118.1869095,28.0,,48.8,5.609588206,,,,,,,,4.94831,56.90000153,59.70000076,42207318.0,4.05,3.32435,99.88375,14.34684,96.55941,49.91524,82.21257,6.3161,32.29733,25.98124,25.98124,,,,,,11.75844,14.33652,7.51864
9,Denmark,54.28569379,24.5,0.0153695440546,0.0153695440546,120.371405523,DNK,Kingdom of Denmark,Denmark,9.23,9.27,11.3,11.15,10.99,11.2,11.5,11.69,11.53,11.32,12.19,12.25,12.36,12.48,13.34,13.44,13.08,13.24,13.08,13.23,12.84,12.7,10.56,10.26,9.25,8.61,8.05,7.57,8.01,7.54,100.0,,54.28569379,38.0,,24.5,5.759602588,,,,,,,,8.5471,58.29999924,42.29999924,2917925.0,4.05,0.41506,,23.03587,99.58494,43.58138,76.54907,,32.96768,32.96768,32.96768,,,,,,10.04251,10.06155,17.68573
